Gigabyte G482-Z54 (8x A100-PCIe-80GB, TensorRT)	A100-PCIe-80GBx8_TRT	NVIDIA	closed	datacenter	available	1	AMD EPYC 7742 64-Core Processor	2	64					512 GB	4 TB	NVMe SSD			8	NVIDIA A100-PCIe-80GB					80 GB	HBM2				TensorRT 8.4.2, CUDA 11.6	Ubuntu 20.04.4	TensorRT 8.4.2, CUDA 11.6, cuDNN 8.4.1, Driver 510.47.03, DALI 0.31.0															
Gigabyte G482-Z54 (8x A100-PCIe-80GB, TensorRT, Triton)	A100-PCIe-80GBx8_TRT_Triton	NVIDIA	closed	datacenter	available	1	AMD EPYC 7742 64-Core Processor	2	64					512 GB	4 TB	NVMe SSD			8	NVIDIA A100-PCIe-80GB					80 GB	HBM2				TensorRT 8.4.2, CUDA 11.6	Ubuntu 20.04.4	TensorRT 8.4.2, CUDA 11.6, cuDNN 8.4.1, Driver 510.47.03, DALI 0.31.0, Triton 22.04															
Gigabyte G482-Z54 (8x A100-PCIe-80GB, MaxQ, TensorRT)	A100-PCIe-80GBx8_TRT_MaxQ	NVIDIA	closed	datacenter	available	1	AMD EPYC 7742 64-Core Processor	2	64					512 GB	4 TB	NVMe SSD			8	NVIDIA A100-PCIe-80GB					80 GB	HBM2				TensorRT 8.4.2, CUDA 11.6	Ubuntu 20.04.4	TensorRT 8.4.2, CUDA 11.6, cuDNN 8.4.1, Driver 510.47.03, DALI 0.31.0															
NVIDIA DGX A100 (8x A100-SXM-80GB, TensorRT)	DGX-A100_A100-SXM-80GBx8_TRT	NVIDIA	closed	datacenter	available	1	AMD EPYC 7742	2	64					2 TB	15 TB	NVMe SSD			8	NVIDIA A100-SXM-80GB					80 GB	HBM2e				TensorRT 8.4.2, CUDA 11.6	Ubuntu 20.04.4	TensorRT 8.4.2, CUDA 11.6, cuDNN 8.4.1, Driver 510.47.03, DALI 0.31.0															
NVIDIA DGX A100 (8x A100-SXM-80GB, TensorRT, Triton)	DGX-A100_A100-SXM-80GBx8_TRT_Triton	NVIDIA	closed	datacenter	available	1	AMD EPYC 7742	2	64					2 TB	15 TB	NVMe SSD			8	NVIDIA A100-SXM-80GB					80 GB	HBM2e				TensorRT 8.4.2, CUDA 11.6	Ubuntu 20.04.4	TensorRT 8.4.2, CUDA 11.6, cuDNN 8.4.1, Driver 510.47.03, DALI 0.31.0, Triton 22.04															
NVIDIA DGX A100 (8x A100-SXM-80GB, MaxQ, TensorRT)	DGX-A100_A100-SXM-80GBx8_TRT_MaxQ	NVIDIA	closed	datacenter	available	1	AMD EPYC 7742	2	64					2 TB	15 TB	NVMe SSD			8	NVIDIA A100-SXM-80GB					80 GB	HBM2e				TensorRT 8.4.2, CUDA 11.6	Ubuntu 20.04.4	TensorRT 8.4.2, CUDA 11.6, cuDNN 8.4.1, Driver 510.47.03, DALI 0.31.0															
Supermicro AS-1114S-WTRT (2x A2, TensorRT)	A2x2_TRT	NVIDIA	closed	datacenter	available	1	AMD EPYC 7232P 8-Core Processor	1	8					128 GB	4 TB	NVMe SSD			2	NVIDIA A2					16 GB	GDDR6				TensorRT 8.4.2, CUDA 11.6	Ubuntu 20.04.4	TensorRT 8.4.2, CUDA 11.6, cuDNN 8.4.1, Driver 510.47.03, DALI 0.31.0															
Supermicro AS-1114S-WTRT (2x A2, TensorRT, Triton)	A2x2_TRT_Triton	NVIDIA	closed	datacenter	available	1	AMD EPYC 7232P 8-Core Processor	1	8					128 GB	4 TB	NVMe SSD			2	NVIDIA A2					16 GB	GDDR6				TensorRT 8.4.2, CUDA 11.6	Ubuntu 20.04.4	TensorRT 8.4.2, CUDA 11.6, cuDNN 8.4.1, Driver 510.47.03, DALI 0.31.0, Triton 22.04															
NVIDIA H100 (1x H100-SXM-80GB, TensorRT)	H100-SXM-80GBx1_TRT	NVIDIA	closed	datacenter	preview	1	AMD EPYC 7252 8-Core Processor	1	16					128 GB	1 TB	NVMe SSD			1	NVIDIA H100-SXM-80GB					80 GB	HBM3				TensorRT 8.5.0, CUDA 11.8	Ubuntu 20.04.4	TensorRT 8.5.0, CUDA 11.8, cuDNN 8.6.1, Driver 520.48, DALI 1.15.0															
NVIDIA H100 (1x H100-SXM-80GB-02, TensorRT)	H100-SXM-80GB-02x1_TRT	NVIDIA	closed	datacenter	preview	1	Intel(R) Xeon(R) Silver 4314 CPU	1	32					256 GB	1 TB	NVMe SSD			1	NVIDIA H100-SXM-80GB-02					80 GB	HBM3				TensorRT 8.5.0, CUDA 11.8	Ubuntu 20.04.4	TensorRT 8.5.0, CUDA 11.8, cuDNN 8.6.1, Driver 520.48, DALI 1.15.0															
NVIDIA DGX A100 (1x A100-SXM-80GB, TensorRT)	DGX-A100_A100-SXM-80GBx1_TRT_DATACENTER	NVIDIA	closed	datacenter	available	1	AMD EPYC 7742	2	64					2 TB	15 TB	NVMe SSD			1	NVIDIA A100-SXM-80GB					80 GB	HBM2e				TensorRT 8.4.2, CUDA 11.6	Ubuntu 20.04.4	TensorRT 8.4.2, CUDA 11.6, cuDNN 8.4.1, Driver 510.47.03, DALI 0.31.0															
NVIDIA DGX A100 (1x A100-SXM-80GB, TensorRT)	DGX-A100_A100-SXM-80GBx1_TRT	NVIDIA	closed	edge	available	1	AMD EPYC 7742	2	64					2 TB	15 TB	NVMe SSD			1	NVIDIA A100-SXM-80GB					80 GB	HBM2e				TensorRT 8.4.2, CUDA 11.6	Ubuntu 20.04.4	TensorRT 8.4.2, CUDA 11.6, cuDNN 8.4.1, Driver 510.47.03, DALI 0.31.0															
NVIDIA DGX A100 (1x A100-SXM-80GB, TensorRT, Triton)	DGX-A100_A100-SXM-80GBx1_TRT_Triton	NVIDIA	closed	edge	available	1	AMD EPYC 7742	2	64					2 TB	15 TB	NVMe SSD			1	NVIDIA A100-SXM-80GB					80 GB	HBM2e				TensorRT 8.4.2, CUDA 11.6	Ubuntu 20.04.4	TensorRT 8.4.2, CUDA 11.6, cuDNN 8.4.1, Driver 510.47.03, DALI 0.31.0, Triton 22.04															
Gigabyte G482-Z54 (1x A100-PCIe-80GB, TensorRT)	A100-PCIe-80GBx1_TRT	NVIDIA	closed	edge	available	1	AMD EPYC 7742 64-Core Processor	2	64					1 TB	4 TB	NVMe SSD			1	NVIDIA A100-PCIe-80GB					80 GB	HBM2				TensorRT 8.4.2, CUDA 11.6	Ubuntu 20.04.4	TensorRT 8.4.2, CUDA 11.6, cuDNN 8.4.1, Driver 510.47.03, DALI 0.31.0															
Gigabyte G482-Z54 (1x A100-PCIe-80GB, TensorRT, Triton)	A100-PCIe-80GBx1_TRT_Triton	NVIDIA	closed	edge	available	1	AMD EPYC 7742 64-Core Processor	2	64					1 TB	4 TB	NVMe SSD			1	NVIDIA A100-PCIe-80GB					80 GB	HBM2				TensorRT 8.4.2, CUDA 11.6	Ubuntu 20.04.4	TensorRT 8.4.2, CUDA 11.6, cuDNN 8.4.1, Driver 510.47.03, DALI 0.31.0, Triton 22.04															
Supermicro AS-1114S-WTRT (1x A2, TensorRT)	A2x1_TRT	NVIDIA	closed	edge	available	1	AMD EPYC 7232P 8-Core Processor	1	8					128 GB	4 TB	NVMe SSD			1	NVIDIA A2					16 GB	GDDR6				TensorRT 8.4.2, CUDA 11.6	Ubuntu 20.04.4	TensorRT 8.4.2, CUDA 11.6, cuDNN 8.4.1, Driver 510.47.03, DALI 0.31.0															
Supermicro AS-1114S-WTRT (1x A2, TensorRT, Triton)	A2x1_TRT_Triton	NVIDIA	closed	edge	available	1	AMD EPYC 7232P 8-Core Processor	1	8					128 GB	4 TB	NVMe SSD			1	NVIDIA A2					16 GB	GDDR6				TensorRT 8.4.2, CUDA 11.6	Ubuntu 20.04.4	TensorRT 8.4.2, CUDA 11.6, cuDNN 8.4.1, Driver 510.47.03, DALI 0.31.0, Triton 22.04															
