Organization,Availability,Division,SystemType,SystemName,Platform,Model,MlperfModel,Scenario,Result,Accuracy,number_of_nodes,host_processor_model_name,host_processors_per_node,host_processor_core_count,accelerator_model_name,accelerators_per_node,Location,framework,operating_system,notes,compilance,errors,version,inferred,has_power,Units
SAPEON,available,closed,"datacenter","SUPERMICRO SYS-620C-TN12R X220-compact",X220-compact,resnet50,resnet,Server,6145.15,76.044,1,"Intel(R) Xeon(R) Gold 6330 CPU",2,56,"SAPEON X220-compact",1,closed/SAPEON/results/X220-compact/resnet50/Server,"SAPEON SDK v0.52","Ubuntu 18.04.6 LTS","",1,0,v2.1,0,False,Queries/s
SAPEON,available,closed,"datacenter","SUPERMICRO SYS-620C-TN12R X220-compact",X220-compact,resnet50,resnet,Offline,6769.07,76.044,1,"Intel(R) Xeon(R) Gold 6330 CPU",2,56,"SAPEON X220-compact",1,closed/SAPEON/results/X220-compact/resnet50/Offline,"SAPEON SDK v0.52","Ubuntu 18.04.6 LTS","",1,0,v2.1,0,False,Samples/s
SAPEON,available,closed,"datacenter","SUPERMICRO SYS-220GP-TNR X220-enterprise",X220-enterprise,resnet50,resnet,Server,12036.3,76.044,1,"Intel(R) Xeon(R) Gold 6330 CPU",2,56,"SAPEON X220-enterprise",1,closed/SAPEON/results/X220-enterprise/resnet50/Server,"SAPEON SDK v0.52","Ubuntu 20.04.2 LTS","",1,0,v2.1,0,False,Queries/s
SAPEON,available,closed,"datacenter","SUPERMICRO SYS-220GP-TNR X220-enterprise",X220-enterprise,resnet50,resnet,Offline,13100.9,76.044,1,"Intel(R) Xeon(R) Gold 6330 CPU",2,56,"SAPEON X220-enterprise",1,closed/SAPEON/results/X220-enterprise/resnet50/Offline,"SAPEON SDK v0.52","Ubuntu 20.04.2 LTS","",1,0,v2.1,0,False,Samples/s
